,Features,Coefficients
0,city_Lloydminster,964.78
1,gpc_site_OO Landesgartenschau 2017 Kremsmunster,717.74
2,city_Pleasant Hill,716.49
3,city_Radda in Chianti,697.23
4,city_Boscawen,649.13
5,city_York,-433.44
6,city_Lisbon,-424.04
7,city_Goffston,-386.92
8,city_Hudson,-386.05
9,city_New Gloucester,-382.15
